Database???Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month£ºlast200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicators,Jul-24,Jun-24,May-24,Apr-24,Mar-24,Feb-24,Jan-24,Dec-23,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23,Jan-23,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22,Mar-22,Feb-22,Jan-22,Dec-21,Nov-21,Oct-21,Sep-21,Aug-21,Jul-21,Jun-21,May-21,Apr-21,Mar-21,Feb-21,Jan-21,Dec-20,Nov-20,Oct-20,Sep-20,Aug-20,Jul-20,Jun-20,May-20,Apr-20,Mar-20,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Feb-19,Jan-19,Dec-18,Nov-18,Oct-18,Sep-18,Aug-18,Jul-18,Jun-18,May-18,Apr-18,Mar-18,Feb-18,Jan-18,Dec-17,Nov-17,Oct-17,Sep-17,Aug-17,Jul-17,Jun-17,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,May-16,Apr-16,Mar-16,Feb-16,Jan-16,Dec-15,Nov-15,Oct-15,Sep-15,Aug-15,Jul-15,Jun-15,May-15,Apr-15,Mar-15,Feb-15,Jan-15,Dec-14,Nov-14,Oct-14,Sep-14,Aug-14,Jul-14,Jun-14,May-14,Apr-14,Mar-14,Feb-14,Jan-14,Dec-13,Nov-13,Oct-13,Sep-13,Aug-13,Jul-13,Jun-13,May-13,Apr-13,Mar-13,Feb-13,Jan-13,Dec-12,Nov-12,Oct-12,Sep-12,Aug-12,Jul-12,Jun-12,May-12,Apr-12,Mar-12,Feb-12,Jan-12,Dec-11,Nov-11,Oct-11,Sep-11,Aug-11,Jul-11,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10,Jun-10,May-10,Apr-10,Mar-10,Feb-10,Jan-10,Dec-09,Nov-09,Oct-09,Sep-09,Aug-09,Jul-09,Jun-09,May-09,Apr-09,Mar-09,Feb-09,Jan-09,Dec-08,Nov-08,Oct-08,Sep-08,Aug-08,Jul-08,Jun-08,May-08,Apr-08,Mar-08,Feb-08,Jan-08,Dec-07
Output of Crude Iron Ore Current Period(10000 tons),,9661.7,8847.9,8790.4,9814.6,,,8603.3,8556.8,8644.5,8436.8,8633.3,8570.9,8515.5,7760,7509.6,8640.3,,,7861.2,7953.6,7267.5,7897.6,8113.3,8022.7,9871.1,9780.5,8579.4,9476.2,,,7851.2,7839.6,8012.7,8469.8,8391.5,7992.9,8786.9,8761.2,8689.4,8175,,,7702.1,7521.2,7842.1,7348.1,7699.9,7302.7,7831.7,7464.2,7437.9,7475.7,,,7517.7,7924.5,7804.8,7737.1,7429.6,7399.6,7313.4,7078.7,6845,6977.6,,,6842.2,6889.3,6882.2,6692.7,6465.9,6476,6550.2,6725.3,6746.8,6688.5,,,10922.4,10965.8,12007.4,11912.6,11549.1,11466.4,12469.3,10748.1,10337.2,11361,,,11938.6,11667.9,11928.9,11892.7,11506.9,11574.3,12106.4,10754.1,10256.7,9815.8,,,11967.2,11753.3,12534.8,13156.4,12381.4,12619,12848.1,11766.2,10409.5,10510.1,8240.2,,12627,12817.9,13484.4,13735.2,13652,13674.1,13932.4,13194.1,12237.2,12093.1,,,13185,13865.9,13487.5,13664.1,12983.8,12052.6,12925.2,11679.1,11053.3,11220.9,,,11947.9,12463.5,12485.3,12906.2,11656.9,11546.1,12569.3,11235.3,10401.9,10331.1,8156.6,,11925.7,12637,13241.3,12750.4,12755.2,11696,12401.4,10246.7,9776.6,9443.5,7244.6,,9820.9,9558.1,9548.7,9354.7,9957.5,9759.1,10155.2,9105.6,8807.4,7972.4,6150.9,,8824.8,8678.1,8387.6,8542.7,7668.3,7686.8,8326.9,6555.6,6078.8,6172.2,5819,,6105.9,7238.5,6785,6482.8,6241,6373.6,8156.4,7549.3,6818.6,6609.2,5322.7,,6815.3
Output of Crude Steel Current Period(10000 tons),,9160.7,9285.9,8594.3,8826.9,,,6744.4,7609.9,7909.2,8210.8,8641.3,9079.7,9111,9012.3,9263.5,9572.6,,,7788.9,7454.4,7975.9,8694.9,8386.8,8142.9,9073,9661.3,9277.5,8829.5,,,8619.3,6931.3,7158.4,7375,8323.9,8679,9387.5,9945.4,9784.6,9402.1,,,9236.5,8766,9328.2,9357.7,9592.5,9442,9252,9226.7,8503.3,7897.5,,,8426.5,8028.7,8152.1,8277.3,8725.1,8522.3,8753.3,8909.1,8503.2,8032.6,,,7612.1,7762.1,8255.2,8084.5,8032.6,8124.1,8019.6,8112.7,7669.8,7398,,,6704.7,6615.1,7236.2,7182.7,7459.4,7402.1,7323.1,7225.9,7277.7,7199.5,,,6721.9,6629,6850.8,6817,6857.1,6680.7,6946.9,7050.4,6942.1,7065.3,,,6437.2,6331.7,6612.4,6611.8,6694.4,6583.6,6894.6,6995.3,6891,6948.3,6172,,6809.1,6330.3,6751.9,6754.2,6891.3,6832.4,6929.3,7043.4,6883.5,7024.7,,,6235.3,6087.8,6507.9,6542.2,6627.6,6547.4,6466.4,6703.4,6565,6629.6,,,5765.6,5747.1,5909.6,5794.6,5870.3,6169.3,6021.3,6123.4,6057.5,6158.1,5588.3,,5216.4,4988.3,5467.3,5670,5875.2,5930,5993.2,6024.5,5903.2,5941.8,5430.7,,5152.4,5017.3,5030.4,4794.5,5163.6,5174.3,5376.6,5614.3,5540.3,5496.8,5035.7,,4766.4,4726.2,5174.7,5071.1,5232.7,5067.6,4942.5,4646,4341.3,4510.1,4042.2,,3779.2,3518.9,3590.1,3961.4,4256.8,4488.6,4694.4,4601.3,4467.6,4486.8,3888.4,,4131.4
Output of Electricity Current Period(100 million kwh),,7685.2,7178.5,6900.8,7476.9,,,8289.8,7309.7,7043.5,7456.1,8449.9,8461.7,7399,6885.8,6583.5,7172.9,,,7578.5,6666.7,6610,6830,8248,8059.2,7090.3,6410.2,6085.7,6701.7,,,7233.7,6540.4,6393.5,6751.2,7383.5,7586.2,6860.5,6478.4,6230.1,6579,,,7277.2,6418.7,6094.5,6315.2,7238.3,6801.2,6304.1,5932.4,5542.7,5525.1,,,6544.2,5889.8,5714.2,5908.4,6682.4,6573.1,5833.9,5589,5440.2,5697.9,,,6199.9,5543,5330.2,5483.1,6404.9,6400.2,5550.6,5443.3,5107.8,5283.4,,,5698.6,5196.3,5038.1,5219.6,5945.5,6047.4,5203,4947,4767.2,5168.9,,,5328.9,5034.1,4875.8,4912.8,5617.2,5506.1,4907.9,4635.9,4444.5,4778.8,,,4910.3,4660.4,4453.5,4547.8,5155.3,5089.6,4745.3,4562.2,4450.3,4510.6,3653.9,,4902.2,4487.2,4446.4,4541.7,4959.3,5047.9,4580.7,4415.9,4250.2,4527.7,3833.6,,4779.6,4391.8,4305.2,4310.4,4987,4794.5,4252.6,4104.1,3994.4,4194.3,,,4327.2,4010.5,3897.7,3907.3,4372.8,4351.2,3933.5,3898.1,3718.2,4109.2,3701.7,,4038.1,3713,3640.4,3860.6,4260.4,4251.5,3968.2,3775.4,3663.8,3830.1,3100.8,,3677.8,3453.4,3328.8,3486.5,3903.3,3776.4,3466.6,3404.7,3316.4,3369.5,2695.9,,3497.8,3234.1,3121,3203.3,3443.2,3345,3100.1,2838.9,2712.9,2833.6,2449.4,,2739.6,2540.2,2645,2892.5,3160.6,3195.4,2934.5,2933.8,2814.3,2897.8,2337.8,,2946.9
Total Value of Imports and Exports Growth Rate (The same period last year=100)(%),,3.9,5.1,4.4,-5.1,-1.1,11.1,1.4,0,-2.5,-6.2,-8.2,-13.6,-10.1,-6.2,1.1,7.4,1.3,-15.1,-8.9,-9.5,-0.4,3.4,4.1,11,10.3,11.1,2.1,7.5,8.1,22.2,20.3,26.1,24.3,23.3,28.8,23.1,34.2,37.4,37,34.2,67,25.6,12.9,13.6,8.4,11.4,4.2,3.4,1.5,-9.3,-5.1,-4,-11,-7.3,11.5,-0.3,-3.5,-5.7,-3.2,-0.7,-4,-3.4,0.4,3.1,-13.8,4.1,-5.8,4.3,18.2,14.4,14.3,18.8,12.5,18.5,16.6,5.3,24.5,22,8,14.7,11.2,12.7,8.8,8.8,13.8,11.3,9.7,18.2,15.8,11.4,-2.2,2.9,-4.9,-6.6,-1.1,-7.9,-6.4,-2.6,-5.8,2,-20.8,-14.3,-4.1,-7.6,-12.1,-11.4,-9.1,-8.2,-1.2,-9.3,-11.1,-13.8,10.8,-10.9,4,-0.5,8.4,11.3,4,6.9,6.4,3,0.8,-9,-4.8,10.3,6.2,9.3,6.5,3.3,7.1,7.8,-2,0.4,15.7,12.1,1,26.7,10.2,1.5,7.3,6.3,0.2,2.7,9,14.1,2.7,7.1,29.4,-7.8,12.6,17.6,21.6,18.9,27.1,21.5,18.5,23.5,25.9,31.4,10.6,43.9,21.4,36.2,24,24.7,34.7,30.8,39.2,48.4,39.4,42.8,45.2,44.4,32.7,9.8,-10.7,-10.1,-20.6,-19.4,-17.7,-25.9,-22.8,-20.9,-24.9,-29,-11.1,-9,17.6,21.4,22,29.8,23.3,33.2,23.9,27.8,18.4,27.1,23.4
Total Value of Exports Current Period(1000 US dollars),,307854505,302348019,292453498,279681675,220279326,307734618,303618345,291934500,274827000,299129677,284790965,281755999,285321600,283484005,295417981,315589337,214025811,292275545,306078766,295500770,298371747,322755333,314920505,332964256,331264197,308244886,273619664,276084613,217416504,327285953,340498780,325525287,300221418,305737341,294315479,282662343,281417178,263922347,263923793,241134158,204855176,264018839,281927726,268074093,237182561,239757675,235259186,237631279,213574174,206812825,200233629,185146228,,,238267589,221337434,212916095,218123102,214786135,221553908,212835863,213845417,193481260,198655790,135200630,217566642,221249124,227445523,217283435,226686815,217372208,215565384,216597141,212869326,200035315,174121483,171616391,200491435,231796372,217382015,188979730,198231216,199342432,193601151,196590894,191014115,179988316,180600668,120078967,182752414,209417479,193546446,177867030,184498014,190592312,182642116,180183971,181059364,172757807,160813329,126144745,177185706,223683502,196463224,192395789,205554591,196868247,195096520,191975441,190057568,176330816,144568557,169190546,200258035,227512544,211662669,206866715,213687462,208465863,212891063,186788537,195472920,188540548,170107988,114093694,207132123,207742423,202204803,185405576,185643576,190608317,185991317,174315796,182766116,187061474,182189999,139367235,187365572,199229682,179380767,175571102,186349509,177973297,176940032,180204470,181140762,163251712,165658100,114470693,149939113,174717651,174464123,157490772,169673012,173315697,175128036,161980774,157157191,155684084,152199071,96736127,150734151,154148895,153325762,135978419,144985285,139302230,145519322,137395578,131760663,119920666,112111793,94522714,109475299,130723881,113653429,110762383,115937994,103707009,105420240,95411208,88757886,91934722,90290547,64894649,90453600,111157222,114987285,128327028,136432088,134872675,136675046,121179554,120496491,118771084,108962891,87367796,109640030,114415986
Total Value of Imports Current Period(1000 US dollars),,208807983,219725898,220101810,221130611,180573806,222276794,228277992,223539300,218298600,221298188,216592727,201159403,214702200,217692018,205209790,227398611,197204817,192211279,228066170,226252602,213217901,238011751,235527165,231696993,233322854,229490725,222500588,228704260,186832863,241914340,246035373,253813881,215681597,238979506,235984248,226073489,229890607,218382769,221063587,227336197,166975331,198640212,203753955,192673058,178739425,202759047,176333799,175301874,167152978,143886746,154900580,165213108,,,191057245,183411013,169898075,178474843,179959655,176940637,161859791,172187571,179647719,165984372,131119542,178409792,164193569,182740526,183266962,194984435,189485783,187515616,175127271,187947777,171653187,179104260,137864792,180142312,177111682,177167943,150794685,169625750,157423163,146876295,153838330,150220190,141955685,156684253,129226647,131409245,168599109,149316792,129102640,142520352,138543027,132414757,132275084,131083858,127200204,130956404,93552261,113898862,164294338,142718411,130752399,145212712,136628528,152071574,145436663,131190146,142196335,141487341,108571550,140226150,177900669,157186291,161461228,182724108,158629387,165590512,155223841,159551189,170087977,162404693,137082488,175262820,182101573,168403885,154298864,170426362,162089547,168173366,147191392,162341158,168899994,183013097,124141775,158219313,167611245,159747492,143524416,158680480,151312746,151793278,148482365,162441440,144824524,160310799,145954014,122661227,158196889,159935995,140457698,155159080,155556739,143644427,139708198,144110223,144263081,152060308,104063964,144273210,141068833,130435945,108832701,128110304,119266152,116788934,117373726,112227749,118239462,119348092,86910333,95307047,112293713,94560431,86774749,103005871,87995234,94790583,87159545,75369356,78799687,71729112,60053658,51344264,72177186,74897470,93087686,107065274,106178493,111397147,100179936,100286062,102102683,95556142,78813133,90174447,91728981
Number of Projects for Contracted Foreign Direct Investment Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.8,-32.6,-32.8,-33,-31.8,-32,-31.5,-31.4,-32.9,-26.4,-10.6,69.8,77.5,89.3,95.1,102.7,99.1,96.6,97.6,95.4,124.7,129.2,158.6,27.8,26.5,15.9,10.6,10,12,12.3,11.9,17.2,7.2,13.7,0.1,5,3,7.4,12.2,10.2,9.7,12.5,13.5,6.5,1.6,-11.4,-11.4,11.8,11,9.3,10.1,10.7,8.8,8.6,9.6,17,22.4,38.6,31.8,4.4,4.2,5.8,5.5,5,4.9,3.2,1.6,-0.4,-0.7,-5.2,-8.7,-8.6,-9.2,-9.2,-9.3,-8.2,-7.7,-9.2,-7,-4.7,-10.4,-3,34.3,-10.1,-10.3,-10.5,-11.7,-12.4,-12.3,-13.1,-12.2,-13.9,-9.4,-11.6,-37.5,1.1,3.2,5.6,6.2,7.7,7.9,8.8,9.4,8.6,8.8,7.5,20.2,16.9,18,16.6,17.5,18.3,17.9,18.8,22.2,20.3,19.9,14.6,24.7,-14.8,-17.4,-20.1,-21.4,-24.8,-27.4,-28.4,-33.8,-34.2,-34.5,-36.9,-48.7,-27.4,-27.5,-26.2,-26.3,-24.4,-22.2,-22.2,-21,-23.2,-25.3,-23.5,-13.4,-8.7
"Note:1.Since 2011, enterprises above designated size refers to all industrial enterprises with revenue from principal business over 20 million yuan (the former is 5 million yuan).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"¡¡¡¡¡¡2.Data of import and export data are from the general administration of customs. Data of 1978 were from the Ministry of Foreign Trade, and data since 1980 are from Customs statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"¡¡¡¡¡¡3.Data of foreign capital are from Commerce Department. Since 2001, both contracted foreign capital and foreign capital actually used don?t include overseas borrowing. Since 2007, Commerce Department no longer releases data of contracted foreign capital.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
